Answer.ID,FailingMethod,Question.ID,Answer.duration,Answer.confidence,Answer.difficulty,TP,TN,FN,FP,Answer.option,Answer.order,Answer.explanation,Code.LOC,Code.complexity,Worker.ID,Worker.score,Worker.profession,Worker.yearsOfExperience,Worker.age,Worker.gender,Worker.whereLearnedToCode,Worker.country,Worker.programmingLanguage
661,HIT04_7,59,316.157,1,5,0,0,0,1,YES,1,Line 301 is calling assessor functions to set variables to be used to calculate the MaxMiddleIndex. Since the assertion fails when checking the MaxMiddleIndex it is likely there is something wrong with the assessor functions or how the value they return is being manipulated.,2,1,645ca0i0i87-5:419ee1I0A201,5,Professional_Developer,20,25,Male,High School;University;Other i really dont remember a time when i couldnt,USA,c++
662,HIT04_7,59,2129.733,3,4,0,1,0,0,NO,1,"It doesn't seem like there's an issue with line 301; when line 287 is the exact same thing.  It looks more like ""s.add"" in the test portion above should contain the value 1 instead of 3.0.",2,1,1456eI-3g8a-22-2:488gG-7E2G-8-68,4,Other,2.5,24,Male,High School;Other Training classes,United States,Do not currently use
663,HIT04_7,59,819.357,0,5,0,0,0,0,IDK,1,Difficult to point out,2,1,549EI-5E-8e-92-5,5,Hobbyist,5,59,Female,Other Diploma,India,C; C+; java
664,HIT04_7,59,395.44,3,4,0,1,0,0,NO,1,There does not seem to be an issue with the getDataItem; getTime; getEnd; get Period; and they seem to be in the correct order for an operation like that to happen,2,1,656AI5G0i-32-5,4,Undergraduate_Student,4,20,Male,University;Web,USA,Java; PHP; HTML
665,HIT04_7,59,4128.301,4,3,0,1,0,0,NO,1,Code in and around line 301 contains a bug wherein minMiddleIndex is used instead of maxMiddleIndex; will result in a wrong maxMiddleIndex in general. However; for code example given above; I cannot see any way this bug causes the expects-1-but was-3 assertion failure. ,2,1,582GG-6a-7c31-1:310Ei-2a5i-4-17,5,Other,10,53,Male,University,India,R
666,HIT04_7,59,278.743,0,3,0,0,0,0,IDK,1,There appears to be missing code.,2,1,749ei0A6I-20-1,4,Professional_Developer,15,41,Male,University,USA,C#
667,HIT04_7,59,640.191,2,4,0,0,0,1,YES,1,I believe it should be dealing with the maxMiddleIndex,2,1,850CI-4G6E-6-4-8,3,Hobbyist,2,23,Female,Web,USA,C#
668,HIT04_7,59,449.828,5,3,0,0,0,1,YES,1,using minMiddleMindex there ... ? whoops! maybe if the variable names were less insane and verbose (and the methods less verbose) then they would more easily catch errors like that.,2,1,270ie-2C-4c-550:97ai0I-8C871,5,Professional_Developer,20,25,Male,High School;University;Other as long as i can remember honestly,USA,c++
669,HIT04_7,59,404.604,0,5,0,0,0,0,IDK,1,I can not determine any issue with the method invocations on line 301.,2,1,668IE-2E-3i-9-1-6,4,Hobbyist,9,30,Male,Web,United States,C; Python
670,HIT04_7,59,370.031,3,3,0,1,0,0,NO,1,The code is working in those areas; there are checks inplace to make sure the number is above 0.,2,1,832cg-7G1i-462:73eI-8E-2g-985,5,Undergraduate_Student,7,21,Male,High School,United States,Java; C++; C#
671,HIT04_7,59,1810.998,3,5,0,0,0,1,YES,1,"At line 301 the argument of ""getDataItem"" should be ""this.maxMiddleIndex"" but is instead ""this.minMiddleIndex"".This call is part of a method that updates bounds for all index variables( ""minStartIndex""; ""maxStartIndex""; ""minMiddleIndex""; etc)and more specifically the section of that code that updates the ""maxMiddleIndex"". Information that was retrieved using the ""getTime"" method erroneously retrieved it from the ""minMiddleIndex"" which led to bounds being updated incorrectly.",2,1,957cC5C0E4-4-5,5,Undergraduate_Student,2,20,Male,University,USA,Ada
672,HIT04_7,59,75.161,4,4,0,0,0,1,YES,1,there is no clear invocation of functions,2,1,1007Ce4C-7e-8-3-7,3,Professional_Developer,2,26,Female,High School;University;Web,USA,java
673,HIT04_7,59,1240.757,4,4,0,1,0,0,NO,1,The issue is probably at line 304. There is no 'else' part for the 'if' check at 304 which can lead it to use values from previous iterations.,2,1,1085iG9e-2C-6-57,5,Professional_Developer,3,24,Male,High School;University,India,Java
674,HIT04_7,59,509.675,5,3,0,1,0,0,NO,1,This call-chain is consistent with other lines that call the same.  My guess would be that there's a problem with one of the methods being called; not the chain itself.,2,1,1159AI-9A9g2-1-9,5,Professional_Developer,20,35,Male,Other Self-taught as a child,United States,Javascript
675,HIT04_7,59,86.595,3,3,0,1,0,0,NO,1,i tested and i checked,2,1,1367Cg2a9C-61-4,4,Professional_Developer,3,27,Male,University;Web,india,java
676,HIT04_7,59,241.63,4,2,0,1,0,0,NO,1,The method invocation looks normal.  I see no issues at line 301 that raise any suspicion to me.,2,1,1432Ge-2A-6a-382,4,Hobbyist,10,28,Male,University;Web,USA,Python
677,HIT04_7,59,455.783,0,3,0,0,0,0,IDK,1,I'm not familiar with Java.,2,1,1553ce3G-9A-4-3-9,4,Hobbyist,2,24,Male,University;Web,USA,javascript; go
678,HIT04_7,59,245.06,0,3,0,0,0,0,IDK,1,Cannot see the method getMaxMiddleIndex(); so unsure of what is happening.,2,1,1635CE6g8g-39-8,4,Undergraduate_Student,6,26,Male,University;Web,United States,Python
679,HIT04_7,59,1015.295,4,2,0,0,0,1,YES,1,You want to check for maxMiddleIndex to see if its value makes sense with the updated bounds. However; when calculating the maxMiddleIndex; you use this.minMiddleIndex instead of this.maxMiddleIndex as your index for retrieving the period. This should give you the wrong time span.,2,1,9GI2A-8C06-5,5,Professional_Developer,8,26,Male,High School;University,USA,Java; Ruby
680,HIT04_7,59,2465.728,5,5,0,0,0,1,YES,1,Yes; since the method invocations are part of an expression to get the value for variable e where its result impacts the value to set for the maxMiddleIndex variable. But there should be no issue or error on the usage of the method invocations. The error encountered is just a result of an assertion where the expected result is different from the one being returned.  ,2,1,33IE-8g0A9-7-8,5,Professional_Developer,8,35,Male,University;Web;Other Work,United States of America,Java; PHP
681,HIT04_7,46,80.013,4,4,0,1,0,0,NO,2,The assertion fails when looking at the MaxMiddleIndex. Since line 274 only deals with the MaxStart and MaxStart isn't used when calculating the MaxMiddleIndex; the error doesn't deal with line 274.,2,2,645ca0i0i87-5:419ee1I0A201,5,Professional_Developer,20,25,Male,High School;University;Other i really dont remember a time when i couldnt,USA,c++
682,HIT04_7,46,1203.651,3,4,0,1,0,0,NO,2,There is nothing I can see with line 274 that should cause an issue.  It is simply getting the maximum starting point.  The 3.0 value in the above test is more suspect.,2,2,1456eI-3g8a-22-2:488gG-7E2G-8-68,4,Other,2.5,24,Male,High School;Other Training classes,United States,Do not currently use
683,HIT04_7,46,81.137,3,3,0,1,0,0,NO,2,Again; there does not seem to be an issue with the get methods that are being used. They are in the correct order; and I would need to see the source code for the methods if I was to determine anything else,2,2,656AI5G0i-32-5,4,Undergraduate_Student,4,20,Male,University;Web,USA,Java; PHP; HTML
684,HIT04_7,46,183.586,4,3,0,1,0,0,NO,2,The code at line 274 deals with maxStartIndex and seems unrelated to the assertion failure around MaxMiddleIndex.,2,2,582GG-6a-7c31-1:310Ei-2a5i-4-17,5,Other,10,53,Male,University,India,R
685,HIT04_7,46,63.598,0,3,0,0,0,0,IDK,2,Incomplete source code.  Where is SimpleTimePeriod class defined?,2,2,749ei0A6I-20-1,4,Professional_Developer,15,41,Male,University,USA,C#
686,HIT04_7,46,235.425,2,4,0,1,0,0,NO,2,it looks the same as every similar line of code; I think its alright. ,2,2,850CI-4G6E-6-4-8,3,Hobbyist,2,23,Female,Web,USA,C#
687,HIT04_7,46,107.58,5,3,0,1,0,0,NO,2,nope ... i believe it looks fine to me.,2,2,270ie-2C-4c-550:97ai0I-8C871,5,Professional_Developer,20,25,Male,High School;University;Other as long as i can remember honestly,USA,c++
688,HIT04_7,46,513.407,0,5,0,0,0,0,IDK,2,I do not see any issue with the method invocations on line 274 that might be related to the failure.,2,2,668IE-2E-3i-9-1-6,4,Hobbyist,9,30,Male,Web,United States,C; Python
689,HIT04_7,46,224.683,3,3,0,1,0,0,NO,2,It is getting the data correctly from an array/list and getting the time of the data correctly.,2,2,832cg-7G1i-462:73eI-8E-2g-985,5,Undergraduate_Student,7,21,Male,High School,United States,Java; C++; C#
690,HIT04_7,46,429.824,3,5,0,1,0,0,NO,2,"These method invocations seem to be in line with the purpose of the parent method ""updateBounds"". ",2,2,957cC5C0E4-4-5,5,Undergraduate_Student,2,20,Male,University,USA,Ada
691,HIT04_7,46,137.11,4,4,0,0,0,1,YES,2,misuse of invocation; syntax should be changed,2,2,1007Ce4C-7e-8-3-7,3,Professional_Developer,2,26,Female,High School;University;Web,USA,java
692,HIT04_7,46,86.033,4,3,0,1,0,0,NO,2,The issue is probably at line 304. There is no 'else' part for the 'if' check at 304 which can lead it to use values from previous iterations.  The line 274 gets the value from the collection. I don't see any issue with it.,2,2,1085iG9e-2C-6-57,5,Professional_Developer,3,24,Male,High School;University,India,Java
693,HIT04_7,46,85.677,5,2,0,1,0,0,NO,2,As before; this chaining is consistent with chaining elsewhere.  It appears this getPeriod().getStart().getTime() is used significantly enough to trust that the chain isn't going to be the cause.  Additionally; we're clearly not getting any compile-time errors.    I blame one of the individual calls.,2,2,1159AI-9A9g2-1-9,5,Professional_Developer,20,35,Male,Other Self-taught as a child,United States,Javascript
694,HIT04_7,46,103.268,4,2,0,0,0,1,YES,2,some classic interface errors are occured,2,2,1367Cg2a9C-61-4,4,Professional_Developer,3,27,Male,University;Web,india,java
695,HIT04_7,46,152.8,4,3,0,1,0,0,NO,2,I don't see any issues with the method invocation at this line.  It looks correct to me.,2,2,1432Ge-2A-6a-382,4,Hobbyist,10,28,Male,University;Web,USA,Python
696,HIT04_7,46,144.621,0,3,0,0,0,0,IDK,2,I don't see any obvious errors.,2,2,1553ce3G-9A-4-3-9,4,Hobbyist,2,24,Male,University;Web,USA,javascript; go
697,HIT04_7,46,35.883,0,3,0,0,0,0,IDK,2,Can't see the method getMaxMiddleIndex(); so I cannot see what is happening.,2,2,1635CE6g8g-39-8,4,Undergraduate_Student,6,26,Male,University;Web,United States,Python
698,HIT04_7,46,791.811,2,3,0,1,0,0,NO,2,"I don't see a problem; it should return a ""long"" time",2,2,3AG2a6c-6-4-6:485Gg1i-6E-150:13GC7c-2c-843,5,Other,6,30,Male,University;Web,USA,python
699,HIT04_7,46,45.997,5,3,0,1,0,0,NO,2,Not where the problem is.,2,2,47Gi2a9C33-3,4,Professional_Developer,25,53,Male,University,US,perl; c; javascript; php
700,HIT04_7,46,103.785,3,3,0,1,0,0,NO,2,not supported jdk jar libs,2,2,20ca-1G-6C-3-7-3:10AE4G-4a370:46AI8G-4A8-2-2,5,Professional_Developer,2,25,Male,University,india,java
