"","model2.y","model2.predicted","X1","X2","X3","X4","X5"
"229","4","5",0,0,0,0,1
"439","5","5",0,0,0.0403899721448468,0.321727019498607,0.637883008356546
"341","5","5",0,0,0.354883081155433,0.0206327372764787,0.624484181568088
"1628","4","5",0,0,0,0,1
"2460","2","5",0,0,0,0,1
"111","4","5",0,0,0.072463768115942,0.11304347826087,0.814492753623188
"20","4","5",0,0,0.0907801418439716,0.049645390070922,0.859574468085106
"284","3","5",0,0,0,0.00277777777777778,0.997222222222222
"2491","5","4",0,0.00277777777777778,0.226388888888889,0.679166666666667,0.0916666666666667
"622","5","5",0,0,0,0,1
"1929","1","5",0,0,0.0869565217391304,0.0715287517531557,0.841514726507714
"1662","4","5",0,0,0,0,1
"178","1","5",0,0,0,0,1
"650","5","5",0,0,0.0420054200542005,0.294037940379404,0.663956639566396
"1633","5","5",0,0,0,0,1
"66","4","5",0,0,0,0,1
"1486","4","5",0,0,0,0,1
"1700","5","5",0,0,0,0,1
"611","3","4",0,0.00536912751677852,0.16241610738255,0.703355704697987,0.128859060402685
"490","4","3",0,0.0106100795755968,0.839522546419098,0.0344827586206897,0.115384615384615
"17","2","5",0,0,0.0700549450549451,0.0741758241758242,0.855769230769231
"556","5","5",0,0,0.0428380187416332,0.295850066934404,0.661311914323963
"192","3","5",0,0,0,0,1
"1844","2","5",0,0,0,0,1
"607","3","4",0,0.00131926121372032,0.162269129287599,0.721635883905013,0.114775725593668
"1837","5","5",0,0,0,0,1
"1798","3","5",0,0,0,0,1
"2470","5","5",0,0,0,0,1
"1883","4","5",0,0,0.0484764542936288,0.235457063711911,0.71606648199446
"621","4","5",0,0,0,0,1
"1505","5","5",0,0,0.00268817204301075,0.0282258064516129,0.969086021505376
"88","3","5",0,0,0,0,1
"280","5","5",0,0,0,0,1
"238","2","5",0,0,0,0,1
"1544","4","5",0,0,0,0,1
"1601","3","5",0,0,0.00133689839572193,0.0254010695187166,0.973262032085562
"1530","5","5",0,0,0,0,1
"2488","2","4",0,0.00140845070422535,0.229577464788732,0.661971830985915,0.107042253521127
"1603","4","5",0,0,0.002710027100271,0.0149051490514905,0.982384823848238
"1815","3","5",0,0.00140252454417952,0.00981767180925666,0.0126227208976157,0.976157082748948
"1956","5","5",0,0,0,0,1
"2557","5","5",0,0,0,0,1
"326","4","5",0,0,0.0448717948717949,0.248717948717949,0.706410256410256
"55","5","5",0,0,0.0660377358490566,0.185983827493261,0.747978436657682
"2552","5","5",0,0,0,0,1
"2213","4","5",0,0,0,0,1
"2220","5","5",0,0,0,0,1
"1779","5","5",0,0,0,0.00404312668463612,0.995956873315364
"127","5","5",0.0363636363636364,0.00779220779220779,0.0714285714285714,0.214285714285714,0.67012987012987
"1742","5","5",0,0,0,0.00684931506849315,0.993150684931507
"2254","5","5",0,0,0,0,1
"1732","5","5",0,0,0,0.00268817204301075,0.997311827956989
"1778","5","5",0,0,0,0.00792602377807133,0.992073976221929
"2083","3","5",0,0,0,0,1
"2411","3","5",0,0,0,0,1
"2154","5","5",0,0,0.0457063711911357,0.314404432132964,0.6398891966759
"2086","3","5",0,0,0,0,1
"97","3","5",0,0,0,0,1
"321","5","5",0,0,0.0328767123287671,0.289041095890411,0.678082191780822
"85","4","5",0,0,0,0,1
"347","5","5",0,0,0.384823848238482,0.0284552845528455,0.586720867208672
"184","5","5",0,0,0,0,1
"2210","5","5",0,0,0,0,1
"1887","4","5",0,0,0.0464190981432361,0.245358090185676,0.708222811671088
"453","4","5",0,0,0,0,1
"2529","4","5",0,0,0.410691003911343,0.144719687092568,0.444589308996089
"1890","2","5",0,0,0.0375180375180375,0.281385281385281,0.681096681096681
"355","5","5",0,0,0.349315068493151,0.0315068493150685,0.619178082191781
"208","5","5",0,0,0.00402144772117962,0.0268096514745308,0.96916890080429
"477","5","5",0,0,0.0492866407263294,0.30609597924773,0.64461738002594
"2059","4","5",0,0,0,0,1
"589","3","5",0,0,0,0,1
"540","3","5",0,0,0.0291390728476821,0.260927152317881,0.709933774834437
"44","5","5",0,0,0.0679487179487179,0.178205128205128,0.753846153846154
"281","5","5",0,0,0,0.00274348422496571,0.997256515775034
"1458","5","5",0,0,0,0,1
"2004","1","5",0,0,0.00275482093663912,0.0206611570247934,0.976584022038568
"1490","5","5",0,0,0,0,1
"1780","5","5",0,0,0,0.00532623169107856,0.994673768308921
"368","4","5",0,0,0.046767537826685,0.266850068775791,0.686382393397524
"172","5","5",0,0,0,0,1
"1781","3","5",0,0,0,0,1
"524","4","5",0,0,0.0501981505944518,0.225891677675033,0.723910171730515
"472","4","5",0,0,0.0470430107526882,0.268817204301075,0.684139784946237
"1441","5","5",0,0,0,0,1
"1833","5","5",0,0,0,0,1
"1587","3","5",0,0,0,0,1
"228","5","5",0,0,0,0,1
"2324","5","5",0,0,0,0,1
"1459","1","5",0,0,0,0,1
"1829","2","5",0,0,0,0,1
"1609","4","5",0,0,0,0.0158520475561427,0.984147952443857
"200","5","5",0,0,0,0,1
"2528","1","3",0,0,0.402439024390244,0.211382113821138,0.386178861788618
