counter,Session.ID,FailingMethod,Question.ID,Answer.duration_seconds,Answer.timestamp,Answer.confidence,Answer.difficulty,TP,TN,FN,FP,Answer.option,Answer.order,Answer.explanation,Code.LOC,Code.complexity,Worker.ID,Worker.score,Worker.profession,Worker.yearsOfExperience,Worker.age,Worker.gender,Worker.whereLearnedToCode,Worker.country,Worker.programmingLanguage
4,33gc6e0c6-99,HIT02_24,15,276.233,Tue 2015 Jul 07 09:01:30.58,3,4,0,0,0,1,YES,1,"It appears there's an issue with this method because there is no other place that exception could be thrown. The Math functions would throw an exception about ""Color"".",1,4,270ie-2C-4c-550:97ai0I-8C871,5,Professional_Developer,20,25,Male,High School;University;Other as long as i can remember honestly,USA,c++
6,27gA7g9c-3-69,HIT02_24,15,442.064,Tue 2015 Jul 07 13:05:33.48,4,3,0,0,0,1,YES,1,I felt some error in that color array line,1,4,21cI-1i9c-41-7,5,Professional_Developer,8,27,Female,University;Web,India,C; Java
8,41EG0C-8c522,HIT02_24,15,1700.321,Tue 2015 Jul 07 15:11:20.66,3,3,0,1,0,0,NO,1,returns an instance of color class ;create a RGB color,1,4,4ec3E-4a-28-2,3,Professional_Developer,5,30,Female,University,USA,Java; C
10,37cG9g-6c-990,HIT02_24,15,546.832,Wed 2015 Jul 08 05:06:43.12,3,4,0,0,0,1,YES,1,The variable g must be an integer between 0 and 255 .If the output for the statement line 117 results in  an negative integer there may be a color parameter out of range exception.,1,4,771eE-2I5c-40-7,3,Professional_Developer,9,33,Female,University,india,PHP
11,35ce-6E2e1-2-2,HIT02_24,15,198.968,Wed 2015 Jul 08 05:18:09.83,4,4,0,1,0,0,NO,1,No; It has simply called the builtin function Color.  But ; there may be problem in value of g,1,4,739Gg9c-2G37-5,3,Professional_Developer,15,37,Female,University,India,php
15,27gA7g9c-3-69,HIT02_24,15,200.125,Wed 2015 Jul 08 09:44:03.26,5,4,0,1,0,0,NO,1,new color(g;g;g) doesn't have error in the program. The color mentioned is Red Green Blue and the test has the color.black,1,4,230GE3I5a522,4,Professional_Developer,6,29,Female,University;Web,USA,JAVA
19,17CA7a2g-29-4,HIT02_24,15,162.658,Wed 2015 Jul 08 14:17:59.31,4,5,0,1,0,0,NO,1,This is valid statement.,1,4,1013GI0e-3C-869,3,Professional_Developer,5,30,Female,University,India,Java
20,15aE0g2a-138,HIT02_24,15,474.107,Wed 2015 Jul 08 19:21:31.58,4,2,0,1,0,0,NO,1,this invocation is fine; but the calculation of g must be at issue.,1,4,1194GI0G8E7-20,5,Professional_Developer,20,25,Male,High School;University;Other found a book,USA,C++
24,33gc6e0c6-99,HIT02_24,13,119.583,Tue 2015 Jul 07 09:03:30.16,4,4,0,1,0,0,NO,2,Math.min simply returns the lower value of the two values passed to it. Therefore; it will either return v or the upperBound. Since v is checked in line 115; this function call shouldn't cause an error.,1,1,270ie-2C-4c-550:97ai0I-8C871,5,Professional_Developer,20,25,Male,High School;University;Other as long as i can remember honestly,USA,c++
26,27gA7g9c-3-69,HIT02_24,13,100.688,Tue 2015 Jul 07 13:07:14.17,3,4,0,1,0,0,NO,2,I don't think there is problem in 116 line; it seems correct,1,1,21cI-1i9c-41-7,5,Professional_Developer,8,27,Female,University;Web,India,C; Java
27,41EG0C-8c522,HIT02_24,13,164.889,Tue 2015 Jul 07 15:14:05.54,3,3,0,1,0,0,NO,2,No issues ; v value will be overridden with latest value.,1,1,4ec3E-4a-28-2,3,Professional_Developer,5,30,Female,University,USA,Java; C
29,37cG9g-6c-990,HIT02_24,13,562.993,Wed 2015 Jul 08 05:16:06.11,2,4,0,1,0,0,NO,2,The value V must be within the range specified by the lower and upper bounds.Here Variable v is assigned the minimum value within the upper bound limit.So it must be less than 255.,1,1,771eE-2I5c-40-7,3,Professional_Developer,9,33,Female,University,india,PHP
30,35ce-6E2e1-2-2,HIT02_24,13,157.04,Wed 2015 Jul 08 05:20:46.87,4,3,0,0,0,1,YES,2,This will not cause the error. But the value of the variable may have caused the error,1,1,739Gg9c-2G37-5,3,Professional_Developer,15,37,Female,University,India,php
34,27gA7g9c-3-69,HIT02_24,13,50.769,Wed 2015 Jul 08 09:44:54.03,5,4,0,1,0,0,NO,2,Math.min doesn't have any problem as the error is about the colors mentioned,1,1,230GE3I5a522,4,Professional_Developer,6,29,Female,University;Web,USA,JAVA
38,17CA7a2g-29-4,HIT02_24,13,81.909,Wed 2015 Jul 08 14:19:21.22,4,2,0,1,0,0,NO,2,It is assigning value only.,1,1,1013GI0e-3C-869,3,Professional_Developer,5,30,Female,University,India,Java
39,15aE0g2a-138,HIT02_24,13,331.809,Wed 2015 Jul 08 19:27:03.38,5,2,0,1,0,0,NO,2,no; this is not the line they screwed up!,1,1,1194GI0G8E7-20,5,Professional_Developer,20,25,Male,High School;University;Other found a book,USA,C++
40,13aG-6I-3I-3-2-1,HIT02_24,13,79.847,Thu 2015 Jul 09 03:50:37.57,4,4,0,0,0,1,YES,1,upperbound and lowerbound not declared,1,1,1343cA-3i-4c068,3,Professional_Developer,3,33,Male,University,india,perl
44,33gc6e0c6-99,HIT02_24,11,107.346,Tue 2015 Jul 07 09:05:17.51,5,2,0,1,0,0,NO,3,The failure is caused by passing the parameter g to the Color function. v is not used to calculate this value at all so it is not related to the failure.,1,3,270ie-2C-4c-550:97ai0I-8C871,5,Professional_Developer,20,25,Male,High School;University;Other as long as i can remember honestly,USA,c++
46,27gA7g9c-3-69,HIT02_24,11,24.871,Tue 2015 Jul 07 13:07:39.04,5,3,0,1,0,0,NO,3,Its not at all an issue,1,3,21cI-1i9c-41-7,5,Professional_Developer,8,27,Female,University;Web,India,C; Java
47,41EG0C-8c522,HIT02_24,11,336.265,Tue 2015 Jul 07 15:19:41.81,2,3,0,0,0,1,YES,3,We need to convert int to double by using casting .,1,3,4ec3E-4a-28-2,3,Professional_Developer,5,30,Female,University,USA,Java; C
49,35ce-6E2e1-2-2,HIT02_24,11,50.561,Wed 2015 Jul 08 05:21:37.44,5,2,0,1,0,0,NO,3,NO ; Because it is simply declaration and assigning of value,1,3,739Gg9c-2G37-5,3,Professional_Developer,15,37,Female,University,India,php
50,37cG9g-6c-990,HIT02_24,11,969.53,Wed 2015 Jul 08 05:32:15.64,2,5,0,1,0,0,NO,3,The variable V is assigned the lower bound range for the scale.Even though it affects the value of variable g created by statement 117; the variable V does not get affected after the execution.,1,3,771eE-2I5c-40-7,3,Professional_Developer,9,33,Female,University,india,PHP
54,27gA7g9c-3-69,HIT02_24,11,79.183,Wed 2015 Jul 08 09:46:13.21,4,3,0,1,0,0,NO,3,The variable V doesn't have issues in the code as the error is with the colors mentioned,1,3,230GE3I5a522,4,Professional_Developer,6,29,Female,University;Web,USA,JAVA
58,17CA7a2g-29-4,HIT02_24,11,27.238,Wed 2015 Jul 08 14:19:48.45,5,1,0,1,0,0,NO,3,It is normal way of declaring variable.,1,3,1013GI0e-3C-869,3,Professional_Developer,5,30,Female,University,India,Java
