"AnswerID","PredictedConfidence","Actual"
1786,"3","3"
1787,"4","2"
1791,"4","3"
1794,"5","5"
1797,"5","3"
1798,"3","3"
1800,"4","4"
1802,"4","4"
1804,"5","5"
1805,"5","5"
1806,"5","5"
1807,"2","2"
1808,"5","3"
1810,"5","5"
1811,"4","4"
1812,"2","2"
1813,"5","5"
1815,"4","3"
1817,"3","3"
1819,"5","5"
1820,"5","5"
1825,"5","5"
1848,"4","5"
1855,"4","3"
1858,"3","3"
1863,"5","2"
1866,"5","5"
1869,"5","5"
1878,"3","3"
1882,"4","4"
1890,"5","2"
1892,"5","3"
1906,"4","4"
1908,"3","3"
1909,"3","5"
1911,"1","1"
1912,"3","2"
1917,"3","4"
1922,"5","5"
1926,"4","5"
1927,"5","5"
1932,"4","4"
1933,"3","3"
1939,"4","4"
1949,"4","5"
1978,"5","5"
1979,"4","4"
1987,"3","1"
1989,"5","5"
1992,"3","3"
1995,"3","1"
1997,"4","4"
2002,"5","5"
2004,"5","1"
2011,"4","5"
2012,"5","5"
2015,"5","5"
2017,"5","5"
2018,"5","5"
2019,"5","5"
2020,"5","5"
2024,"3","1"
2040,"5","5"
2044,"4","4"
2057,"5","4"
2061,"3","3"
2072,"5","5"
2079,"4","4"
2080,"5","5"
2086,"3","3"
2093,"3","1"
2094,"5","4"
2096,"4","3"
2111,"4","4"
2112,"5","5"
2114,"3","3"
2133,"5","3"
2161,"5","5"
2163,"3","3"
2164,"5","5"
2166,"4","4"
2168,"4","4"
2169,"4","4"
2171,"5","5"
2172,"4","3"
2173,"5","3"
2175,"3","5"
2177,"3","2"
2178,"4","5"
2181,"5","5"
2188,"4","4"
2189,"4","4"
2192,"4","4"
2193,"5","4"
2200,"5","5"
2221,"4","4"
2225,"3","3"
2228,"5","4"
2229,"3","3"
2233,"4","4"
2234,"4","4"
2235,"4","4"
2240,"3","2"
2242,"3","4"
2243,"3","1"
2247,"5","5"
2253,"5","3"
2259,"5","5"
2261,"4","3"
2262,"5","3"
2265,"3","3"
2267,"4","5"
2271,"4","4"
2277,"1","1"
2280,"3","3"
2281,"4","5"
2282,"4","3"
2283,"5","5"
2285,"5","5"
2286,"5","5"
2287,"3","3"
2288,"5","5"
2290,"5","5"
2296,"5","5"
2297,"4","4"
2300,"5","5"
2302,"4","4"
2303,"3","3"
2305,"4","4"
2306,"3","3"
2313,"4","4"
2315,"4","5"
2317,"4","4"
2326,"3","2"
2341,"3","2"
2351,"2","2"
2352,"5","5"
2359,"5","5"
2361,"5","5"
2363,"3","3"
2370,"5","5"
2378,"5","5"
2395,"4","5"
2404,"4","5"
2409,"3","3"
2411,"3","3"
2426,"4","4"
2428,"3","3"
2431,"3","2"
2433,"4","4"
2438,"4","4"
2440,"4","4"
2443,"3","3"
2445,"5","5"
2448,"4","4"
2450,"5","5"
2451,"3","5"
2452,"2","2"
2453,"5","3"
2454,"4","4"
2457,"3","3"
2459,"4","4"
2460,"4","2"
2463,"3","3"
2464,"3","3"
2465,"5","5"
2470,"5","5"
2473,"5","2"
2474,"4","5"
2475,"5","5"
2478,"4","4"
2479,"4","2"
2483,"5","5"
2494,"3","3"
2499,"5","5"
2503,"3","3"
2520,"3","4"
2521,"4","4"
2525,"5","2"
2531,"4","2"
2533,"4","3"
2535,"4","3"
2541,"3","5"
2554,"3","3"
2555,"4","4"
2561,"4","2"
2562,"3","4"
2563,"5","2"
2565,"5","5"
2570,"5","5"
2573,"5","3"
2574,"4","5"
2575,"5","5"
2577,"3","4"
2578,"4","4"
2579,"4","2"
