               1           2           3           4           5
229  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
439  0.000000000 0.000000000 0.040389972 0.321727019 0.637883008
341  0.000000000 0.000000000 0.354883081 0.020632737 0.624484182
1628 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2460 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
111  0.000000000 0.000000000 0.072463768 0.113043478 0.814492754
20   0.000000000 0.000000000 0.090780142 0.049645390 0.859574468
284  0.000000000 0.000000000 0.000000000 0.002777778 0.997222222
2491 0.000000000 0.002777778 0.226388889 0.679166667 0.091666667
622  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1929 0.000000000 0.000000000 0.086956522 0.071528752 0.841514727
1662 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
178  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
650  0.000000000 0.000000000 0.042005420 0.294037940 0.663956640
1633 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
66   0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1486 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1700 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
611  0.000000000 0.005369128 0.162416107 0.703355705 0.128859060
490  0.000000000 0.010610080 0.839522546 0.034482759 0.115384615
17   0.000000000 0.000000000 0.070054945 0.074175824 0.855769231
556  0.000000000 0.000000000 0.042838019 0.295850067 0.661311914
192  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1844 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
607  0.000000000 0.001319261 0.162269129 0.721635884 0.114775726
1837 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1798 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2470 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1883 0.000000000 0.000000000 0.048476454 0.235457064 0.716066482
621  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1505 0.000000000 0.000000000 0.002688172 0.028225806 0.969086022
88   0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
280  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
238  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1544 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1601 0.000000000 0.000000000 0.001336898 0.025401070 0.973262032
1530 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2488 0.000000000 0.001408451 0.229577465 0.661971831 0.107042254
1603 0.000000000 0.000000000 0.002710027 0.014905149 0.982384824
1815 0.000000000 0.001402525 0.009817672 0.012622721 0.976157083
1956 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2557 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
326  0.000000000 0.000000000 0.044871795 0.248717949 0.706410256
55   0.000000000 0.000000000 0.066037736 0.185983827 0.747978437
2552 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2213 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2220 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1779 0.000000000 0.000000000 0.000000000 0.004043127 0.995956873
127  0.036363636 0.007792208 0.071428571 0.214285714 0.670129870
1742 0.000000000 0.000000000 0.000000000 0.006849315 0.993150685
2254 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1732 0.000000000 0.000000000 0.000000000 0.002688172 0.997311828
1778 0.000000000 0.000000000 0.000000000 0.007926024 0.992073976
2083 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2411 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2154 0.000000000 0.000000000 0.045706371 0.314404432 0.639889197
2086 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
97   0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
321  0.000000000 0.000000000 0.032876712 0.289041096 0.678082192
85   0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
347  0.000000000 0.000000000 0.384823848 0.028455285 0.586720867
184  0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
2210 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1887 0.000000000 0.000000000 0.046419098 0.245358090 0.708222812
